"train_SR","valid_SR","test_SR","portsN","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
0.313988748061264,0.265797751982873,0.302830088745088,5,0,0,0,0,0,0.744790878360523,0,-0.698487329340753,0.403984645799525,0,0,0,0,0.488191204121127,0,0,0,0,0,0,0,0,0,0,0.061520601059578,0,0,0,0,0,0,0
0.337358336352298,0.283793103065961,0.318542722368057,6,0,0,0,0,0,0.790860546887926,0,-0.811821612636297,0.433518833373788,0,0,0,0,0.52817972622491,0,0,0,0,0,0,0,0,0,-0.0377689740270218,0.0970314801766948,0,0,0,0,0,0,0
0.407749104710763,0.330615815388317,0.36412663925568,7,0,0,0,0,0,0.959469425206801,0,-1.16428746131832,0.544239406672452,0,0,0,0,0.660675517096315,0,0,0,0,0,-0.130290778581583,0,0,0,-0.109251698806127,0.239445589730461,0,0,0,0,0,0,0
0.412495562131435,0.334651381149504,0.366722851624447,8,0,0,0,0,0,0.969663730725036,0,-1.19301829847226,0.551769780786428,0.00989290121207363,0,0,0,0.667902487666049,0,0,0,0,0,-0.140506229285985,0,0,0,-0.115296310288283,0.249591937656943,0,0,0,0,0,0,0
0.413116810929713,0.335292555202155,0.367104938765359,9,0,0,0,0,0,0.970823038727415,0,-1.1965753709744,0.552535796335693,0.011155733282716,0,0,0,0.668609983635001,0,0,0,0,0,-0.141854724248263,0,0,0,-0.11622068985968,0.250710899123572,0,0,0,0.000815333977951017,0,0,0
0.441097778292974,0.358565780579355,0.385056387849649,10,0,0,0,0,0,0.987524089621222,0.123300508323464,-1.38344470075426,0.583616088858529,0.0456750867561992,0,0,0,0.673631358187933,0,0,0,0,0,-0.208050277781747,0,0,0,-0.152942400451958,0.294279261891259,0,0,0,0.0364109853493601,0,0,0
0.463780230708447,0.384497518730847,0.404547169930175,11,0,0,0,0,0,0.978085521178407,0.220222909907323,-1.41218928242626,0.615897972459619,0.0799316062573339,0,0,0,0.69666691120239,0,-0.160423999000828,0,0,0,-0.241570740230639,0,0,0,-0.161779197356045,0.316181962755101,0,0,0,0.0689763352535972,0,0,0
0.467244893275171,0.388115428344606,0.40750047682582,12,0,0,0,0,0,0.975667277132221,0.234541334024527,-1.41925880772781,0.620110244440263,0.0846200969354082,0,0,0.00713004192842534,0.700847933441631,0,-0.187401378493934,0,0,0,-0.247334010326748,0,0,0,-0.162757702506842,0.320009115457848,0,0,0,0.0738258556950089,0,0,0
0.468385627771656,0.389114176713681,0.408198702492629,13,0,0,0,0,0,0.978396617368419,0.236925597220863,-1.42268158895727,0.621146302931591,0.0859428814581126,0,0,0.00805532032052436,0.702708289547313,0,-0.192897997944695,0,0,0,-0.248050926354262,0,-0.00624527740413233,0,-0.161852685578195,0.323437261703058,0,0,0,0.0751162056886685,0,0,0
0.496163802602887,0.417523363214614,0.425854724109203,14,0,0,0,0,0,1.01987602952224,0.287891079097109,-1.49624082440226,0.628204181508573,0.121794668642687,0,0,0.0421303201564778,0.73609232066437,0,-0.310160865133333,0,0,0,-0.26790529143531,0,-0.168773237425035,0,-0.153580711579027,0.381351746114025,0,0,0,0.0972955114902356,0.0820250727792548,0,0
0.518401325748772,0.44639413205678,0.440801721205268,15,0,0,0,-0.0312231673665053,0,1.06036881697248,0.341716540121984,-1.55401580634843,0.633778553014301,0.159842736550435,0,0,0.080250049158044,0.768820699432998,0,-0.41002929054137,0,0,0,-0.287318891179171,0,-0.318111533052055,0,-0.151180214078102,0.431935360084339,0,0,0,0.115913654148517,0.159252493082537,0,0
0.542424158328372,0.471391835671848,0.453037249808505,16,0,0,0,-0.0720979800596848,0,1.11524070662035,0.410035847829291,-1.63307223178363,0.639006739873998,0.207689821518094,0,0,0.122248068891971,0.806346867172878,0,-0.533831295929086,0.075139769267549,0,0,-0.329680973386865,0,-0.5301277992846,0,-0.155417631905151,0.486642163265003,0,0,0,0.134347359478574,0.257530568431302,0,0
0.5592552088046,0.489153413383278,0.466407479417517,17,0,0,0,-0.0874563170509639,0,1.14547855838037,0.463474889503509,-1.67508035665895,0.640849721123697,0.239437678896023,0,0,0.15123341740765,0.820628513005766,0,-0.660850144074744,0.0992752072958179,0,0,-0.360635897737192,0,-0.682092754720904,0,-0.19308868962293,0.533553642689651,0,0,0,0.150547213260289,0.297749552938608,0,0.116975765364307
0.561283848368734,0.491769593298318,0.467612523067004,18,0,0,0,-0.0896947391945251,0,1.14809008921037,0.468391880167689,-1.67795552109033,0.641882372284964,0.243256214636565,0,0,0.154519129030295,0.821519277107305,0,-0.676777715480181,0.101393815405445,0,0,-0.364987726801213,0,-0.704030089016493,0.0112129942703955,-0.199279249631662,0.537785914038431,0,0,0,0.151827024432837,0.301721607388593,0,0.131124723241521
0.566870347049936,0.500674572769054,0.470734636453077,19,0,0,0,-0.0967585229757595,0,1.15126202839673,0.476243049250144,-1.69311014321771,0.643741734299157,0.24135949395961,0.0398994355513972,0,0.164171123876231,0.822970715233063,0,-0.723830859802652,0.10843383369379,0,0,-0.376344365074592,0,-0.766100977714962,0.042106962294532,-0.217343577218706,0.549870414948028,0,0,0,0.151435573567274,0.313131272200884,0,0.168862808733546
0.573083676396314,0.515289826265462,0.474418702894675,20,0,0,-0.0371399469346093,-0.0979490624579786,0,1.15742536466897,0.49514336028356,-1.70520222957004,0.648928363968826,0.239004807607992,0.081595496611508,0,0.183318189655818,0.826579414504984,0,-0.776190021347773,0.118617616863928,0,0,-0.388934721634604,0,-0.83149829630627,0.0752926077283956,-0.238681878085609,0.562765213856677,0,0,0,0.153133313366791,0.324295752157944,0,0.209496655061495
0.575507078942823,0.521383320713904,0.474117278194441,21,-0.0305357635806959,0,-0.0445074017527453,-0.0924410451316624,0,1.15902262229815,0.506567289382819,-1.7037372401699,0.653726960931246,0.242353765080254,0.09429562166824,0,0.192174188292632,0.82764179402116,0,-0.791788103751659,0.125750094537921,0,0,-0.392090096025357,0,-0.852239957487337,0.0831713782362213,-0.24788532713591,0.56536240804058,0,0,0,0.156043691514995,0.327561761539484,0,0.221553359491561
0.576867768001754,0.524088282178071,0.474098673917798,22,-0.0453191873280841,0,-0.0477505842568069,-0.0904864902596179,0,1.16132597746496,0.512365709374809,-1.70400340301406,0.655351807509279,0.244084912361514,0.100501275199244,0,0.196904231713136,0.828614593601217,0,-0.799848699415602,0.131065023163958,-0.0076488706456829,0,-0.392954460553581,0,-0.861391088803908,0.0878534682241238,-0.251608058018336,0.56834606928168,0,0,0,0.157422073557368,0.329253112936107,0,0.227922587908289
0.584940146378854,0.535562418874147,0.472958799275039,23,-0.125840255452556,0,-0.062443457497204,-0.0843438210684352,0,1.185411162563,0.549763634548783,-1.72280453376126,0.671430387544057,0.256951073424148,0.131694072431576,0,0.219361974018783,0.847602739810683,0,-0.849560755314857,0.16318819950133,-0.0421316361374679,0,-0.402850098411904,0,-0.916934828770936,0.117825054452359,-0.267729108084387,0.597454008650116,-0.0489006067806355,0,0,0.16887889305229,0.343662874125485,0,0.270315027157035
0.58675383737477,0.538311837521261,0.472643832603838,24,-0.140248931076108,-0.0113475371334451,-0.0647721562172902,-0.0831370841699037,0,1.19309990180101,0.56073658354456,-1.72742887918639,0.677184156856447,0.260004590844625,0.138524896481453,0,0.224331264892458,0.853062854010604,0,-0.860811927804948,0.170652981027438,-0.0496324356531386,0,-0.405420493678034,0,-0.928548881869324,0.124333607953712,-0.272450154289155,0.604342391237508,-0.0606696552636202,0,0,0.170819824749,0.347102159420683,0,0.280272923521861
0.598220591131996,0.555089996890008,0.465619774516876,25,-0.239975031036965,-0.0829214187987572,-0.0728733972233698,-0.0839344877354831,0,1.23722634042267,0.628190245617783,-1.78085279716329,0.716629357723712,0.280267476048356,0.168183046256702,0.088623392720089,0.254498816450673,0.887793904427795,0,-0.969631673693779,0.217628782728144,-0.0963560982065051,0,-0.419413083838898,0,-1.01489500142958,0.171243621973912,-0.312178226998128,0.651031375025508,-0.124499828639873,0,0,0.179725398758917,0.378689691004826,0,0.337799595605543
0.609266013764521,0.569558358611947,0.453378348844584,26,-0.366535858849037,-0.176892892908393,-0.0834612340901983,-0.0801485292135683,0,1.29228058640566,0.712668352183481,-1.84370473124283,0.761015896466966,0.298521143413287,0.200675594885694,0.19888758441926,0.294229452562716,0.931590801389058,0,-1.10566044204898,0.286345682841684,-0.167520183096635,0.0534016787469714,-0.439625321402551,0,-1.13813386897999,0.220426864133673,-0.364582194794013,0.710353188475437,-0.202782880769023,0,0,0.193667421867347,0.411450168870685,0,0.403533720733296
0.611923473637266,0.573847334507687,0.449662335082443,27,-0.410549769206617,-0.207599960208951,-0.0894871277551412,-0.0787361297611958,0.0368423449463182,1.30178066605734,0.735760586797506,-1.85868329120629,0.766763078797894,0.296519900734908,0.207320249383211,0.227492367310574,0.304560192840695,0.940392226169635,0,-1.14146213406806,0.306646761032386,-0.191525474326632,0.0699914339933202,-0.447071341473428,0,-1.17362161885893,0.2359288059958,-0.378228037112712,0.727688306858185,-0.225840375565396,0,0,0.197556252119957,0.420443008131983,0,0.427119078373644
0.613230421711178,0.576082612460987,0.447811514205335,28,-0.433690976964225,-0.223187555394384,-0.0923010630257621,-0.0783493530298125,0.0553990587195855,1.30657876304247,0.747122919594774,-1.86691634353319,0.769625885545132,0.29479438548997,0.21201147969173,0.243562128476317,0.309846996548521,0.94625166700808,0,-1.16015060881223,0.317336772683936,-0.203582928748604,0.0786814856827879,-0.450175463893002,0,-1.19162564061435,0.24536619186993,-0.384339615748099,0.736954664264445,-0.236815637840399,0,-0.00931224262412035,0.199529944453062,0.424860433098155,0,0.442524654059283
0.621540956762679,0.591382654676699,0.425786893229626,29,-0.638161211370751,-0.358382421858018,-0.112206516971523,-0.0814167943403927,0.215241304249979,1.35763627414092,0.856814115260564,-1.95308536307347,0.806616601560566,0.28165895041215,0.244722171051172,0.380232585884891,0.355422115378328,1.00902881389726,0,-1.31616943106405,0.437455699035662,-0.297261542562905,0.156954990179813,-0.473101389306242,-0.105192615769209,-1.3341269044931,0.317447796966886,-0.431602430559875,0.8246370895577,-0.320074708018778,0,-0.080831200906573,0.222326556761716,0.462581641139456,0,0.572835824817826
0.622576463296867,0.593310706026022,0.421146198374728,30,-0.679629587455255,-0.386119268394314,-0.11474876930286,-0.0815875971270073,0.247866439404203,1.36799221941554,0.878526580610221,-1.97336419290563,0.813400284606575,0.277795989711748,0.248671369854945,0.407461052717604,0.363290278677761,1.02072167024592,0.0125924563312274,-1.35078962546113,0.462184769752698,-0.317895228500501,0.174066331086638,-0.478074450586901,-0.127349638088199,-1.36398087790373,0.334061162595123,-0.441274020959276,0.842694747386737,-0.337578655372898,0,-0.0942618377161595,0.226367410967125,0.470263548569525,0,0.59869743784027
0.623811517260852,0.595334231560475,0.415018932267949,31,-0.738116572791358,-0.424435338154255,-0.116877319625249,-0.0824708862278589,0.290791131486859,1.38664653155695,0.911323608914696,-2.00711217107147,0.823308498278304,0.272871269539993,0.256454706126515,0.445365604935359,0.375808592913147,1.03959837803119,0.0312244676950628,-1.40494230384849,0.497140534699325,-0.345795787983639,0.199185377144223,-0.486662868045865,-0.154189385015131,-1.41184781528402,0.364446580149549,-0.45471283635673,0.869901272560173,-0.359366705229005,-0.0239805891469169,-0.108409709219844,0.231505389053398,0.482763547299369,0,0.64058479761572
0.623911185719925,0.595466222018338,0.414436451152844,32,-0.743702659469308,-0.427899170655307,-0.116988332589368,-0.082377941160003,0.294818531447741,1.38858606448965,0.914342693796735,-2.0104322436553,0.824224482877017,0.272531448663239,0.257404258067375,0.448851994330637,0.376830203221236,1.04152758291381,0.0330171063113788,-1.41054258894249,0.500362842886704,-0.348665865236288,0.201566635856996,-0.487352691233456,-0.156683088674919,-1.41650049989931,0.367404377059193,-0.456085688307599,0.872695960294436,-0.361463701461461,-0.0258260451906751,-0.109295362065231,0.232131198868573,0.484094577790754,-0.00194769326909796,0.645373612934335
